task,seed,status,success,cycles,model_calls,input_tokens,output_tokens,wall_seconds,sim_seconds,resolved_model,episode_file
transfer,0,completed,True,8,13,8182,191,45.36,9.748,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-transfer-seed0.json.gz
transfer,1,completed,True,8,13,8183,224,38.69,9.748,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-transfer-seed1.json.gz
transfer,2,completed,True,8,13,8198,195,40.75,8.948,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-transfer-seed2.json.gz
stack,0,completed,True,8,13,8235,220,47.2,8.948,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-stack-seed0.json.gz
stack,1,completed,True,8,13,8224,211,40.67,8.948,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-stack-seed1.json.gz
stack,2,completed,True,8,13,8206,232,43.64,9.748,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-stack-seed2.json.gz
barrier,0,completed,True,8,13,8275,171,39.49,8.948,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-barrier-seed0.json.gz
barrier,1,completed,True,8,13,8248,184,45.61,9.748,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-barrier-seed1.json.gz
barrier,2,completed,True,8,13,8252,190,41.08,10.298,gpt-6-astra-2026-09-03,gpt6-astra-2026-09-20-barrier-seed2.json.gz
